Age,Experience,EducationLevel,Salary
25,1,1,48066
33,9,4,123845
48,14,2,137303
50,13,4,137741
33,8,1,82734
32,4,3,86943
25,0,1,47371
45,10,4,133169
47,1,4,99934
49,20,1,132941
25,3,3,78506
57,1,1,64398
36,12,3,120418
43,19,4,168731
45,7,4,111178
45,3,1,48004
58,20,1,146237
26,2,3,88910
27,3,3,84669
31,8,2,80863
24,1,4,82271
59,11,1,102567
55,5,1,86663
27,2,2,69833
31,7,2,91288
37,4,3,97332
50,19,4,170914
24,2,1,56920
32,4,4,98448
58,5,2,83191
25,2,1,58804
25,0,2,62653
45,0,4,74423
49,15,2,124596
56,16,2,129198
59,0,3,89845
45,16,3,152834
43,1,2,67813
47,20,4,190399
39,7,4,103882
24,0,3,70365
32,1,3,74984
30,2,1,46319
54,11,1,87103
47,18,4,165568
57,8,1,77979
25,3,3,83795
23,0,1,38432
29,4,1,63189
28,4,2,67081
57,11,4,134439
55,12,2,107602
40,10,1,89439
50,2,1,76624
60,20,3,157662
27,2,4,83299
31,0,1,63522
26,1,4,79886
45,14,2,133997
43,16,1,122001
47,11,2,106292
58,3,3,87005
50,6,3,100468
57,12,4,134135
41,13,3,127210
39,10,2,99651
36,2,2,71795
36,10,2,95756
45,14,2,112652
50,13,2,116979
38,5,2,84031
46,19,2,139235
37,0,1,39584
38,16,4,151447
42,16,3,137394
48,7,2,81846
26,1,4,76277
43,11,2,102176
54,14,3,128622
23,1,1,46512
56,3,4,87490
40,15,2,131315
48,6,2,96933
57,16,1,136831
60,14,2,110795
23,0,1,48477
39,8,4,125089
44,0,4,86088
47,19,1,129352
32,7,2,94335
22,0,3,70127
57,1,2,70960
41,9,2,93149
52,6,1,85224
29,0,2,54576
45,14,2,107166
41,11,3,132358
36,3,1,62761
51,6,3,105701
41,11,1,102898
59,0,3,67354
23,1,1,45779
27,0,3,71804
39,7,4,118597
57,1,1,48855
35,12,3,116744
47,19,2,145550
55,14,2,130948
51,1,3,85939
28,3,3,76344
51,17,2,133514
39,6,2,81271
43,9,3,117696
38,1,3,75815
52,2,4,82739
38,13,4,131120
52,15,4,160400
34,6,4,123302
48,12,3,120627
41,3,3,92660
38,6,1,70615
50,13,2,122888
60,12,4,148656
56,15,4,134358
29,1,3,67213
59,19,1,132385
36,12,4,129325
22,0,1,43636
54,7,3,113120
24,1,2,56736
60,17,1,128707
59,16,1,115853
36,3,1,46527
39,12,4,133648
59,1,2,77728
52,7,2,105744
41,1,1,53132
28,6,2,79358
58,4,4,99949
48,15,1,105482
29,7,2,76380
35,13,2,114725
36,10,3,103550
28,1,2,58896
54,9,2,106555
55,13,2,113619
25,2,1,56298
22,0,1,56929
35,6,3,102836
52,13,2,124621
59,2,1,72241
41,19,2,135207
24,2,2,49527
56,19,4,177564
54,17,3,134697
36,9,3,107533
24,1,2,55807
49,0,1,39136
48,11,4,137128
54,6,2,90777
40,3,4,100984
54,19,1,137968
52,16,3,127994
25,2,2,67119
53,15,4,149861
49,14,2,114132
37,1,1,54037
49,4,4,90150
36,4,2,77786
43,2,2,55715
52,11,2,102191
42,15,2,122242
53,11,2,102354
28,4,4,104710
54,12,1,96772
29,1,3,74657
35,5,2,78475
46,18,3,149975
53,11,3,125820
49,11,2,117272
23,1,3,82381
38,9,2,100809
48,2,2,72714
23,0,4,78784
29,4,1,41694
59,16,3,143367
41,1,4,83199
58,4,1,63272
42,10,3,125500
47,20,2,137104
52,4,1,75407
41,1,4,86612
27,1,3,69553
36,9,1,89091
22,0,4,72210
47,4,2,70237
50,9,1,99821
23,0,2,63686
43,12,2,113853
50,1,2,75730
30,6,2,81114
42,7,2,93415
53,2,3,83739
53,20,2,143010
47,9,1,83102
34,2,3,77743
24,2,2,69899
53,9,2,96935
54,14,3,139250
54,8,2,105504
34,4,1,54596
27,3,1,45904
25,1,2,61896
59,12,1,108223
27,0,2,52736
24,2,1,48828
48,17,1,131465
41,3,2,72855
39,6,3,94845
41,16,3,132307
51,18,2,149290
31,6,4,105334
44,19,3,159780
24,1,4,87857
30,6,1,58576
40,0,1,57193
57,8,1,88822
48,1,4,96913
49,3,2,87214
29,5,4,95070
29,6,4,86995
39,4,2,68301
42,1,2,63465
34,11,3,119344
48,8,2,89014
37,5,2,71617
30,6,4,93549
48,18,1,143366
38,4,1,43675
24,2,2,67523
25,0,2,45894
22,0,3,66191
35,1,1,57593
29,7,3,96768
28,2,2,64239
51,4,2,86366
46,11,1,95723
60,9,4,135425
37,9,3,104116
32,2,4,80018
46,10,2,98821
54,11,2,123539
42,16,3,139844
31,0,1,43155
30,3,3,88039
22,0,2,46531
55,4,1,65628
52,13,3,128106
42,13,2,113445
45,20,2,146723
40,2,1,57236
42,17,4,160720
46,2,1,66474
41,10,3,105477
47,6,4,112009
28,5,1,69536
24,0,2,45831
29,1,2,72673
51,20,2,160701
32,6,3,84608
29,1,1,57791
58,7,3,98152
38,16,3,138047
29,7,4,104622
51,2,2,64692
37,10,3,120444
25,2,4,82578
42,18,2,135745
55,1,3,77079
56,2,2,88377
34,6,1,73148
48,17,3,146704
29,6,3,92110
50,14,3,134393
37,14,2,130061
26,1,1,64076
58,8,2,98338
31,9,4,120554
36,0,3,72332
42,12,1,104910
55,17,2,144823
43,11,2,115738
43,4,4,115828
30,6,1,77174
47,3,1,73526
34,8,3,106299
39,0,3,82349
22,0,2,48720
44,13,3,130740
54,1,3,76609
52,4,3,103731
42,16,2,132314
44,6,1,85273
37,10,2,98258
48,8,4,128413
58,15,1,119671
59,13,2,131978
35,0,4,78538
58,1,2,68309
28,5,4,96871
33,5,3,102292
49,2,4,88608
24,1,2,50307
43,10,2,108380
42,20,2,133540
50,6,2,84813
41,9,1,85871
24,1,2,50715
48,14,3,139812
42,1,4,96133
54,3,4,110820
51,6,3,93896
60,0,1,56033
30,7,1,79868
59,6,3,111998
44,16,2,133553
44,19,2,140512
22,0,1,50376
42,5,1,87004
53,2,4,106353
47,16,3,144013
54,10,3,111736
30,3,1,57623
38,8,2,92894
27,3,2,72959
28,4,1,63909
28,6,1,66103
58,8,3,101893
26,4,2,64153
54,19,1,136620
31,6,1,62828
38,13,1,97165
49,5,2,82097
43,19,1,130107
42,14,3,120973
53,17,4,156540
53,19,1,119828
57,2,3,93313
52,20,2,137689
27,2,2,66178
42,7,2,96512
56,19,4,158536
35,11,2,103508
44,4,1,70492
45,0,1,48373
51,8,1,89852
31,0,2,53689
26,3,1,60367
51,2,3,89881
28,4,3,79374
27,1,3,71086
29,5,2,70841
47,11,2,119898
39,5,1,78127
57,3,2,72893
47,20,4,167380
57,18,4,170829
25,1,3,65658
34,2,3,69268
45,13,1,88618
52,1,4,98517
43,10,1,107312
39,8,1,77746
55,5,1,80281
44,8,4,111448
60,17,1,127993
58,19,4,176418
22,0,3,61209
41,16,3,140241
46,20,3,164441
27,5,2,75818
51,20,1,143772
41,10,2,112221
30,8,3,95491
39,2,1,55481
24,1,3,62518
57,2,1,59936
27,3,4,85994
59,16,3,146298
22,0,4,64319
40,10,2,101724
59,16,2,125946
49,11,2,106932
30,2,2,75014
31,6,2,75833
45,13,3,125821
47,6,2,96502
29,7,4,105397
26,2,2,65052
34,1,4,94264
43,6,2,85640
55,15,4,148139
46,0,2,69082
44,13,2,115150
42,2,2,73002
24,1,3,84859
29,6,3,92239
60,17,2,151870
60,2,2,83232
43,5,3,95471
32,10,3,129798
44,12,4,137412
37,6,2,83659
49,10,2,110748
56,4,1,67245
50,10,2,92226
59,1,1,46114
27,3,4,86941
35,11,2,86439
50,0,4,83888
49,17,4,159262
31,7,1,80431
25,0,3,71995
45,18,1,120185
23,1,3,70821
50,16,2,142531
46,7,1,79801
52,18,2,153087
36,6,2,80658
59,3,2,68944
54,9,1,97459
29,2,3,81167
37,13,1,94346
59,13,2,124742
55,10,3,112628
27,0,4,69945
60,10,1,92755
44,3,1,70587
42,9,3,118359
56,13,3,129867
50,17,2,151623
56,16,1,106756
23,1,3,72550
54,4,2,87076
47,18,2,155613
53,5,2,82223
39,10,2,90794
55,11,2,104263
51,2,4,73114
44,14,3,142002
41,3,1,60715
44,12,2,106930
29,5,3,87211
35,13,1,99453
44,5,4,101988
35,10,3,116567
23,1,4,88108
25,2,4,96669
45,2,3,87848
57,8,3,107655
30,6,2,73310
37,3,4,86091
53,11,2,114708
53,14,3,130137
48,17,4,146228
36,7,4,110215
25,2,2,50672
57,14,4,162219
46,5,3,98822
36,0,2,60104
33,10,1,83993
28,2,3,73440
57,0,3,88260
45,20,2,141959
27,4,2,78157
52,7,3,111632
42,13,1,112636
32,6,3,88044
37,7,3,107465
35,13,2,110707
46,8,3,112003
35,11,3,120663
59,10,2,100677
39,2,4,81725
35,4,2,72984
45,19,2,142380
29,3,2,67816
46,4,2,72930
55,4,2,82813
49,15,3,139757
45,5,1,63492
39,6,1,80876
55,14,4,129696
24,1,3,62005
33,5,3,95298
57,17,1,118810
26,0,1,43178
40,13,2,117389
33,2,1,45949
48,18,4,172446
38,6,1,75625
49,10,3,101752
43,1,3,76149
31,0,3,61016
27,5,1,46236
38,2,2,57569
33,2,3,88862
27,4,2,72744
43,20,1,122633
37,10,3,113372
25,3,2,59572
46,3,1,60032
54,4,1,57910
22,0,2,57613
36,11,4,131487
38,14,1,98974
40,0,2,72576
40,6,2,82842
41,19,3,158755
22,0,2,61073
44,8,2,100960
37,11,3,112152
45,19,2,147955
41,16,3,147016
36,10,1,93232
45,3,3,90259
58,2,1,67289
54,15,1,103516
53,8,1,86975
52,16,3,150713
36,5,4,117571
22,0,4,76047
33,6,3,84523
56,15,1,121933
58,12,1,115666
51,17,1,124523
47,7,3,99332
32,1,1,46094
53,10,4,139747
23,1,4,97525
31,3,1,45503
43,15,2,127329
30,2,4,81267
51,8,3,112394
46,8,2,92348
42,1,1,64523
39,7,3,108158
41,6,2,92721
37,8,4,105843
60,3,2,80114
56,20,2,158632
50,3,4,105247
51,15,2,123450
24,0,2,63428
53,3,4,100088
35,8,1,81980
47,2,4,83792
26,3,1,54734
49,9,2,98572
29,3,3,87694
54,8,2,102603
57,0,2,66942
34,0,3,66310
41,8,2,88280
39,2,2,63525
41,10,3,123670
54,18,3,144080
42,0,2,47894
45,5,1,60959
49,13,4,139896
26,1,3,78693
51,10,1,103620
45,19,2,146418
60,17,1,121028
35,7,2,88488
57,19,1,134522
57,19,4,172072
47,19,4,161407
34,9,2,75346
42,12,1,105340
47,17,2,120955
55,8,3,117668
35,5,3,97346
42,14,1,109634
40,15,2,126209
33,3,3,83974
57,11,1,94478
51,14,2,118273
54,10,3,113009
44,0,2,64409
34,4,1,73429
49,14,4,141230
49,7,1,80209
40,9,3,93654
58,5,1,65254
52,6,2,76077
60,20,2,155273
38,5,3,91821
49,14,1,107511
25,3,3,78420
27,1,2,58512
40,6,1,74448
44,19,3,151441
27,4,2,69182
45,2,4,94368
43,7,3,101599
42,12,2,116753
35,11,2,100238
45,17,2,123132
46,17,1,127339
38,16,3,126876
56,7,1,91226
38,3,1,63155
49,5,2,86827
23,0,1,30709
55,15,3,130648
22,0,2,53370
24,0,4,85817
43,9,4,121040
25,1,3,69416
36,11,2,112623
57,10,2,114421
60,7,3,97902
33,10,2,88966
58,4,3,103121
28,1,3,75446
52,10,4,138087
26,0,1,58207
48,9,2,101798
46,17,1,106877
38,2,4,85749
49,1,4,84388
48,12,2,102373
47,13,2,99278
50,2,4,113895
48,18,2,127330
38,15,2,109240
59,17,4,180764
37,12,1,98140
30,5,4,103794
53,5,2,76039
22,0,4,75395
30,6,4,97490
28,5,4,93548
58,5,3,108482
27,0,3,49644
58,3,4,83499
60,17,2,123081
25,2,1,61341
58,16,1,112409
31,8,2,107266
31,6,1,54967
56,5,3,104206
29,6,2,92383
44,6,2,79741
28,3,2,78196
23,1,1,44019
59,7,4,109108
41,3,2,70255
52,16,2,132894
51,8,3,119167
46,3,3,76607
31,9,2,86301
38,5,1,80416
30,5,2,79427
53,3,1,64109
45,17,4,163824
37,14,4,133783
33,10,2,113940
56,2,3,72962
38,10,2,99372
50,3,2,80892
57,7,1,90138
56,5,3,107720
25,1,1,57518
28,0,3,71753
40,4,1,67241
49,12,2,119051
43,11,2,106017
42,4,2,80146
26,1,2,51493
53,0,3,79719
22,0,2,57554
41,1,2,58542
49,2,4,81470
58,16,4,152058
33,8,3,101081
39,9,2,82671
26,0,3,70302
52,19,3,159504
23,1,3,66810
30,1,3,76461
23,1,2,60634
39,17,4,148625
56,5,1,73884
46,5,1,70295
37,15,1,106944
41,19,2,143075
25,2,3,76220
53,15,2,118094
41,11,2,114378
60,3,1,78937
36,13,3,127958
39,2,4,99223
28,4,1,40474
24,2,1,35543
29,5,2,88004
50,2,2,56046
29,1,2,75782
22,0,3,78976
42,8,2,101654
60,17,4,157526
23,1,3,77389
55,8,4,128083
42,3,1,56941
54,17,3,153192
60,18,1,127011
28,5,2,85143
36,5,1,55989
30,1,2,66903
51,12,1,93847
38,10,2,109862
59,4,4,105564
60,16,3,147454
42,13,3,135061
24,1,1,52160
58,20,1,140919
38,12,4,133901
38,6,2,89060
32,1,2,65175
31,6,4,99371
22,0,1,49976
31,7,1,77662
46,18,3,155899
37,11,2,104925
59,4,1,71506
53,6,3,95212
46,6,4,102881
34,3,2,59317
37,3,2,74666
41,19,3,155468
49,11,2,100573
29,5,3,79427
52,14,2,134205
49,0,2,54981
50,0,3,73410
55,3,2,61130
58,17,2,134707
41,18,2,148216
26,0,4,85401
48,6,3,86053
58,11,4,137015
58,8,1,72670
52,15,4,165691
54,0,1,60919
53,11,2,102901
38,14,3,137449
44,17,2,139649
58,20,3,176846
38,8,4,107842
39,8,2,87234
35,3,2,80636
37,9,2,106358
45,9,4,106883
60,17,2,153148
24,0,2,40867
34,2,4,89265
60,0,3,80723
42,10,1,103475
40,8,1,81993
37,4,1,62922
49,5,2,89255
26,3,2,69972
29,0,1,48757
36,12,2,104875
30,6,2,83100
39,3,3,89582
41,4,3,88990
57,12,2,128856
47,11,2,126295
23,0,2,50631
59,7,1,81225
27,0,2,43896
24,1,1,35943
42,20,1,125333
44,17,1,129895
47,4,2,66670
43,11,3,117510
41,18,1,123183
51,15,3,140255
53,18,4,152704
23,1,4,94720
60,1,2,49401
59,1,4,94341
51,10,4,130059
53,13,2,113484
48,3,4,103988
33,4,1,68317
44,9,1,101078
36,9,2,97661
56,17,1,131140
24,2,2,55760
36,6,3,87205
26,1,4,101296
49,16,3,139811
31,0,4,83513
43,5,1,75531
24,2,1,33319
60,15,3,137773
59,0,2,62352
57,10,2,102728
23,1,3,75272
46,13,1,100448
59,3,1,53036
51,10,4,141855
27,3,3,89641
36,12,4,133515
42,20,4,161243
41,16,2,127983
34,12,4,143066
32,4,1,72225
25,2,1,56665
55,11,1,101061
35,8,2,102027
59,9,3,120456
33,9,2,97986
35,7,3,92505
35,10,2,101092
46,8,4,122717
40,9,2,80080
39,4,4,111761
33,0,3,77612
24,0,3,70853
58,9,1,93468
30,8,1,77881
50,0,2,49310
49,4,4,101093
43,5,3,88574
22,0,3,66941
33,11,1,86891
25,2,3,66922
45,16,2,124375
24,1,4,86852
27,3,1,57394
22,0,2,54019
38,1,3,74208
24,1,3,83789
24,1,4,80951
30,1,2,62057
39,4,2,62320
54,13,2,129993
