Level,Salary
6.59,79811
8.32,93768
17.17,417754
7.02,101424
4.22,39677
11.58,228452
18.79,467120
14.22,271402
11.83,215916
2.85,47544
12.69,265067
19.81,528616
3.66,56423
10.85,182765
17.67,431264
15.07,338634
14.24,303839
14.35,274233
7.83,130301
6.58,104075
16.38,368442
16.39,384361
17.47,432521
18.35,468925
10.72,171321
10.53,164275
16.17,368706
13.35,279809
14.34,305670
16.12,361569
17.91,456277
7.42,56928
8.14,132007
2.79,10000
11.99,211967
1.68,10000
9.85,136537
11.31,214194
6.44,73930
12.23,230127
1.58,21239
1.71,29937
16.63,389571
7.84,89191
3.41,52467
10.92,178065
15.63,323878
5.1,52549
12.83,267281
2.62,42555
1.98,19439
11.1,185239
11.27,190827
13.11,285212
14.8,320415
19.54,528533
10.81,197698
7.14,97532
16.11,362768
6.15,72745
9.34,141970
2.49,28112
1.48,32253
19.29,510545
16.88,410267
14.22,292118
8.77,130403
4.29,17870
3.97,57611
5.75,74323
11.44,215478
14.58,262997
13.54,300305
6.32,76615
19.14,519198
15.02,307673
11.53,212628
12.62,221954
8.97,124679
5.71,97060
7.76,103874
15.4,341317
1.27,33181
3.21,42778
1.87,26156
1.77,28685
17.25,451416
14.37,297838
10.01,163263
2.86,47715
10.34,185751
10.0,177699
4.29,57402
9.24,123487
8.57,149097
12.7,223141
13.07,257095
1.86,12493
8.12,113407
12.89,251584
10.56,180025
17.27,422553
13.52,292186
4.1,52173
2.34,23765
13.21,271753
1.5,39315
12.13,203467
18.86,498159
11.93,226257
8.38,115648
13.22,278492
9.71,150083
11.37,200343
18.89,487724
8.34,119459
19.26,491971
18.2,436464
4.72,77452
2.32,14537
2.91,17611
1.35,10000
2.79,21772
13.98,264529
2.35,52153
7.06,107620
17.05,396260
1.44,54888
16.47,396621
6.36,74483
3.25,10000
14.24,328224
12.95,227772
17.67,409257
14.97,336544
16.27,409766
6.36,100180
4.37,57317
15.26,341578
16.33,388623
19.82,547313
8.84,135086
8.07,114852
15.75,351186
7.48,89434
18.68,476429
17.31,392437
9.15,136889
15.27,318019
15.34,319030
2.96,35606
18.15,476493
10.6,190101
16.7,367975
7.08,78026
18.01,463595
8.39,105818
1.21,16390
18.2,466343
2.73,16284
7.07,94178
19.05,478154
19.06,489644
11.9,219333
13.0,226570
9.52,154175
6.57,82947
7.24,104380
13.78,280598
15.3,354429
16.04,365716
16.0,355871
2.73,32629
10.39,178776
2.09,26227
11.44,201289
9.39,133729
17.87,432771
7.67,83676
3.22,61779
3.72,22212
15.47,330415
12.75,231046
2.92,45968
2.6,25171
14.32,315533
2.38,17665
16.62,392007
14.42,287992
2.55,61318
2.61,11902
19.75,536905
8.11,123733
8.04,118925
16.44,377783
19.0,493643
19.73,532310
15.31,332510
8.15,129517
2.59,62652
15.77,344324
11.61,185219
9.06,134831
18.22,497642
3.11,22354
10.36,194279
1.22,44978
9.9,149178
2.07,33850
3.26,60304
3.23,29938
13.33,258670
15.17,320543
12.08,205217
19.28,499585
8.12,96118
6.43,81174
17.5,414851
5.25,64681
19.3,486960
1.23,24859
19.43,528995
1.82,10000
17.93,451296
11.03,206877
19.87,520127
2.4,53018
11.52,209435
19.42,505379
10.94,185101
12.96,257281
14.22,294312
9.64,158602
12.92,233922
12.1,223545
18.12,433188
1.86,22157
6.34,65496
19.06,487452
17.92,463466
9.66,167434
12.78,252165
6.27,61470
4.57,46799
9.81,173212
7.71,107811
12.09,255400
2.48,34455
19.51,523597
19.74,527215
14.27,296857
11.19,190825
6.88,99642
16.46,395707
14.01,273767
4.09,25327
18.31,435429
16.63,395987
19.05,481374
14.79,282124
12.65,244641
8.95,170812
18.72,482322
17.46,436837
1.86,25023
1.5,19973
8.15,128930
16.4,374419
19.76,536872
3.86,47331
12.29,216908
8.24,131889
19.43,513901
17.0,392975
16.93,409247
9.91,144021
8.88,132285
6.19,76400
2.07,41614
17.43,430249
16.45,380268
19.99,556996
19.94,562631
11.55,212422
15.61,346617
18.95,473647
17.14,394553
5.7,63653
9.56,139438
3.45,35147
19.13,502676
12.52,242259
5.34,61576
13.76,283985
12.74,242733
7.81,77984
3.16,20768
13.76,274440
10.89,166271
15.67,357995
10.88,207299
17.19,430915
11.49,198834
11.66,229591
17.66,435470
8.67,121732
3.55,29756
1.55,17202
15.35,330205
12.79,245695
14.38,301408
5.05,58220
3.59,46007
1.28,38005
7.66,118828
12.21,202103
8.45,83559
9.31,156351
18.18,436516
7.62,100290
10.77,163446
15.89,330662
8.53,131859
12.82,255648
17.38,412497
19.04,458803
3.79,33569
18.61,482773
10.35,147244
5.91,74383
9.72,152537
19.62,534703
10.36,171482
7.25,81530
13.03,269417
5.56,63662
2.44,27846
3.45,23895
3.43,31074
3.89,29566
3.64,37380
13.18,281965
4.46,29385
7.57,78439
18.04,472651
10.01,157000
13.68,263862
4.27,63205
4.65,43535
1.78,50619
4.21,56960
6.29,70940
4.36,81113
2.69,21281
3.29,47367
9.75,158064
4.92,75879
7.92,133519
10.56,175834
14.12,278157
1.75,29929
16.19,359799
12.93,278151
2.55,31256
17.6,425142
18.5,474560
2.16,10000
6.26,63113
16.32,393326
15.22,321055
4.51,34925
4.98,65226
8.04,130433
10.21,176293
12.75,256786
8.01,100651
9.79,133113
15.2,352844
1.7,17858
5.8,66045
14.55,325477
18.01,457552
10.72,186593
11.11,223373
3.04,24001
9.5,160989
11.12,192033
5.61,70772
6.12,98097
8.17,123106
1.38,28818
7.12,109711
5.02,52280
7.22,83065
3.28,20391
17.92,415657
12.28,257445
13.9,265159
15.99,358646
10.47,168579
2.65,34676
11.21,205912
12.15,235429
15.16,320075
9.2,137099
3.42,41868
6.39,76274
7.9,133721
13.27,266934
11.84,223994
7.77,116728
19.74,549742
12.51,236781
5.51,45712
2.93,38659
3.9,33283
5.67,59876
4.05,53639
4.54,69722
6.42,80772
4.29,52495
18.04,476096
2.52,32570
10.97,225736
8.8,138353
19.67,501815
3.13,45869
8.56,130029
19.42,535457
17.44,433888
16.52,381900
5.9,53160
4.25,44125
13.7,261870
18.66,470689
11.58,213649
11.86,238510
6.32,84644
15.62,328908
4.55,57938
7.15,112170
9.08,127569
10.64,175570
5.61,66945
3.18,23331
12.6,246795
6.48,79846
12.04,225458
3.93,30081
10.14,157216
11.12,201998
1.98,19096
7.4,125025
3.55,33046
2.2,29710
19.81,549399
7.12,72450
16.39,351822
5.84,47612
13.95,302285
15.44,331566
12.32,266220
9.96,150477
8.82,133287
7.63,127036
18.66,509626
16.78,425830
19.34,530099
3.36,52326
14.89,327033
18.83,499160
4.44,41534
2.26,14533
15.08,325587
11.91,212595
16.99,397274
3.66,50622
16.11,381046
4.83,56409
4.11,67702
4.12,28557
16.48,379074
13.64,261563
10.94,157922
7.82,106645
17.67,431880
8.46,144657
16.52,393060
9.34,127759
8.16,143157
9.79,172827
6.73,94837
15.2,327029
10.55,160593
5.41,58095
18.09,469342
8.29,146551
11.33,220442
18.22,451717
12.86,228829
3.22,37616
18.86,462311
12.93,252675
7.36,96254
3.65,33078
16.09,341825
12.78,250694
11.14,183655
17.98,430518
15.98,318435
3.88,42374
6.92,116399
5.72,93502
15.13,320862
1.64,13276
11.83,219481
15.49,326547
17.66,437862
7.5,112732
16.6,405741
3.1,32800
17.08,404829
3.42,24440
8.55,111659
16.15,364908
3.85,47904
5.36,76514
14.72,299872
14.68,332719
13.18,252400
14.19,291600
11.31,185618
5.78,33245
7.57,115915
4.45,60945
18.26,456569
12.08,221457
8.62,133366
9.78,130741
19.0,487686
3.91,55078
12.14,203340
10.61,181068
12.62,217241
1.34,27525
17.57,428852
18.71,457637
11.74,227138
14.24,282781
18.53,461086
14.44,304233
3.9,60211
11.95,200984
12.53,235573
9.06,142546
14.99,332606
18.75,486538
18.59,470478
9.57,136310
3.15,36089
19.71,514473
16.94,357846
3.37,43587
18.5,485321
17.53,392054
10.86,168472
12.23,234485
8.58,155676
2.04,25409
7.37,87660
16.25,369932
1.09,39764
7.34,88241
8.57,112460
11.21,186596
18.48,456584
7.58,104750
7.59,127519
15.01,327829
9.59,145606
5.27,57087
9.6,126051
3.68,53655
4.35,47432
10.47,169985
8.96,181625
18.38,470917
7.89,98054
12.03,212382
13.01,267966
1.25,21692
13.61,249631
4.38,62795
19.26,498281
3.82,70214
8.88,147975
2.62,23092
19.94,561220
10.54,175725
12.31,240484
2.27,34165
15.25,319475
4.99,47676
18.06,467135
4.9,51007
4.62,46150
1.69,10000
9.97,165541
11.73,240435
2.25,10675
15.74,351810
9.61,171094
10.96,185450
9.37,150679
8.61,109652
11.63,212904
3.95,40786
4.46,64761
17.37,438470
18.98,533399
8.09,122520
6.14,80548
13.24,261236
8.77,123828
1.48,26420
3.97,39370
14.6,309949
13.52,287897
1.51,10000
5.22,77808
5.39,83101
13.77,275046
1.37,10000
2.98,23970
16.2,389817
4.39,48789
13.4,249058
5.53,57879
2.89,44851
5.62,75157
14.72,308346
17.26,410059
16.77,388707
8.55,110181
13.69,298483
4.89,51152
6.57,101477
18.03,473009
1.25,34958
2.62,23354
4.95,62832
1.5,21112
4.45,36297
12.08,225107
9.01,117185
17.96,464824
16.53,377305
7.49,104155
5.93,76256
8.21,112619
12.22,233405
6.09,67662
12.86,258636
8.78,109239
11.49,204012
9.29,170785
6.59,68673
19.02,486526
15.51,350097
3.66,42943
17.5,431549
10.26,174341
18.0,458161
16.2,386960
9.08,142760
1.43,17392
6.1,85074
11.29,224711
13.04,249528
5.9,56902
3.65,56693
16.86,396614
19.7,497549
10.99,200068
4.26,39421
6.17,74816
1.35,25538
18.37,468809
3.24,46311
11.95,209825
6.21,84447
11.53,199442
13.38,274257
16.77,403425
4.92,42345
1.21,36066
3.6,31522
18.1,465519
17.6,436396
12.35,256502
12.41,227477
13.64,266968
4.33,48059
18.37,461504
8.96,145656
8.28,93717
10.86,167856
1.89,10000
4.16,60414
15.02,349031
2.57,27812
12.46,229916
5.66,68670
8.4,138024
6.49,67772
7.76,110190
14.66,324247
6.65,92122
11.76,213253
10.04,176209
13.61,230746
18.8,496285
14.92,309573
5.08,31265
1.59,29692
5.98,93518
12.31,225444
1.98,38927
10.43,195827
12.34,248305
7.35,122814
15.65,359057
3.03,34678
2.43,10000
14.84,312512
10.41,158537
14.08,320647
9.26,138451
5.68,69789
16.56,393877
16.19,370623
14.2,317866
6.17,66781
12.21,227484
7.86,97617
2.74,11059
18.43,459448
3.6,38991
19.05,491886
9.47,136009
